"","Number","Model Specs","OLS r^2","WLS r^2"
"1","m1","DVs + AME type","0.117592204328077","0.556840552197287"
"2","m2","+ sample","0.118949680691399","0.585318211975712"
"3","m3","+ IVs","0.127668731220802","0.665935433871837"
"4","m4","+ other DV + Estimator","0.130559553962813","0.665935433871837"
"5","m5","DV*Type interaction","0.164263110140652","0.666452382411563"
